tipo,algoritmo,linguagem,variante,tamanho,execucao,energia_j,energia_cores_j,energia_ram_j,duracao_s,user_time_s,system_time_s,potencia_w,energia_por_elemento_j
exec,bolha,rust,v2,10,8,"0,01","0,01",0,"0,002725","0,001",0,"3,6692","0,001"
exec,bolha,rust,v2,10,9,"0,02","0,01","0,01","0,002701","0,001",0,"7,404","0,002"
exec,bolha,rust,v2,10,10,"0,02","0,01","0,01","0,002768","0,001",0,"7,2243","0,002"
exec,bolha,rust,v2,100,1,"0,01","0,01",0,"0,0025","0,001",0,"4,0004","0,0001"
exec,bolha,rust,v2,100,2,"0,01","0,01",0,"0,002734","0,001",0,"3,6575","0,0001"
exec,bolha,rust,v2,100,3,"0,02","0,01",0,"0,002842","0,001",0,"7,0363","0,0002"
exec,bolha,rust,v2,100,4,"0,02","0,01","0,01","0,002662","0,001",0,"7,5131","0,0002"
exec,bolha,rust,v2,100,5,"0,02","0,01","0,01","0,002652","0,001",0,"7,5406","0,0002"
exec,bolha,rust,v2,100,6,"0,02","0,01","0,01","0,002893","0,001",0,"6,9138","0,0002"
exec,bolha,rust,v2,100,7,"0,02","0,01","0,01","0,002796","0,001",0,"7,1539","0,0002"
exec,bolha,rust,v2,100,8,"0,02","0,01","0,01","0,002697","0,001",0,"7,4145","0,0002"
exec,bolha,rust,v2,100,9,"0,01","0,01",0,"0,002721","0,001",0,"3,6746","0,0001"
exec,bolha,rust,v2,100,10,"0,02","0,01","0,01","0,00277","0,001",0,"7,2212","0,0002"
exec,bolha,rust,v2,1000,1,"0,02","0,02","0,01","0,004145","0,003",0,"4,8257","0,00002"
exec,bolha,rust,v2,1000,2,"0,02","0,02","0,01","0,004111","0,002",0,"4,8646","0,00002"
exec,bolha,rust,v2,1000,3,"0,03","0,02","0,01","0,004268",0,"0,003","7,0289","0,00003"
exec,bolha,rust,v2,1000,4,"0,02","0,02","0,01","0,004229",0,"0,002","4,7292","0,00002"
exec,bolha,rust,v2,1000,5,"0,03","0,02","0,01","0,004354","0,002",0,"6,8901","0,00003"
exec,bolha,rust,v2,1000,6,"0,03","0,02","0,01","0,0043",0,"0,002","6,9764","0,00003"
exec,bolha,rust,v2,1000,7,"0,02","0,02","0,01","0,004268","0,002",0,"4,6855","0,00002"
exec,bolha,rust,v2,1000,8,"0,02","0,02","0,01","0,004258",0,"0,002","4,697","0,00002"
exec,bolha,rust,v2,1000,9,"0,02","0,02","0,01","0,004118","0,002",0,"4,857","0,00002"
exec,bolha,rust,v2,1000,10,"0,02","0,02","0,01","0,004201","0,003",0,"4,7605","0,00002"
exec,bolha,rust,v2,10000,1,"0,85","0,6","0,16","0,153202","0,148","0,004","5,5482","0,000085"
exec,bolha,rust,v2,10000,2,"0,87","0,62","0,17","0,154037","0,152",0,"5,648","0,000087"
exec,bolha,rust,v2,10000,3,"0,86","0,6","0,17","0,154192","0,153",0,"5,5774","0,000086"
exec,bolha,rust,v2,10000,4,"0,87","0,61","0,17","0,154399","0,148","0,004","5,6348","0,000087"
exec,bolha,rust,v2,10000,5,"0,85","0,6","0,17","0,154036","0,152",0,"5,5182","0,000085"
exec,bolha,rust,v2,10000,6,"0,85","0,6","0,17","0,154067","0,148","0,004","5,5171","0,000085"
exec,bolha,rust,v2,10000,7,"0,88","0,61","0,17","0,154416","0,152",0,"5,6989","0,000088"
exec,bolha,rust,v2,10000,8,"0,87","0,6","0,17","0,153842","0,148","0,004","5,6551","0,000087"
exec,bolha,rust,v2,10000,9,"0,87","0,61","0,17","0,154027","0,148","0,004","5,6484","0,000087"
exec,bolha,rust,v2,10000,10,"0,86","0,61","0,17","0,154419","0,153",0,"5,5693","0,000086"
exec,bolha,rust,v2,50000,1,"21,77","15,41","4,04","3,788765","3,787",0,"5,7459","0,0004354"
exec,bolha,rust,v2,50000,2,"22,22","15,78","4,16","3,822934","3,809","0,012","5,8123","0,0004444"
exec,bolha,rust,v2,50000,3,"21,73","15,35","4,03","3,787933","3,778","0,008","5,7366","0,0004346"
exec,bolha,rust,v2,50000,4,"21,56","15,23","4,06","3,791959","3,786","0,004","5,6857","0,0004312"
exec,bolha,rust,v2,50000,5,"21,9","15,55","4,18","3,813181","3,807","0,004","5,7432","0,000438"
exec,bolha,rust,v2,50000,6,"21,72","15,35","4,04","3,786038","3,776","0,008","5,7369","0,0004344"
exec,bolha,rust,v2,50000,7,"21,65","15,3","4,05","3,787602","3,781","0,004","5,716","0,000433"
exec,bolha,rust,v2,50000,8,"21,49","15,15","4,05","3,790387","3,784","0,004","5,6696","0,0004298"
exec,bolha,rust,v2,50000,9,"21,49","15,17","4,04","3,788067","3,786",0,"5,6731","0,0004298"
exec,bolha,rust,v2,50000,10,"21,59","15,24","4,06","3,793039","3,779","0,012","5,692","0,0004318"
exec,bolha,rust,v2,100000,1,"87,56","62,1","16,13","15,12541","15,099","0,024","5,7889","0,0008756"
exec,bolha,rust,v2,100000,2,"87,36","61,97","16,14","15,126427","15,12","0,004","5,7753","0,0008736"
exec,bolha,rust,v2,100000,3,"87,7","62,26","16,08","15,110313","15,102","0,004","5,804","0,000877"
exec,bolha,rust,v2,100000,4,"86,87","61,49","16,13","15,12849","15,119","0,004","5,7421","0,0008687"
