tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;insertion;rust;v2;100;9;0,020000;NA;0,010000;0,010000;0,002969;NA;0,001000;0,000000;6,7352;0,000200000
exec;insertion;rust;v2;100;10;0,010000;NA;0,010000;0,000000;0,002916;NA;0,001000;0,000000;3,4289;0,000100000
exec;insertion;rust;v2;1000;1;0,020000;NA;0,010000;0,000000;0,002895;NA;0,001000;0,000000;6,9076;0,000020000
exec;insertion;rust;v2;1000;2;0,010000;NA;0,010000;0,000000;0,002882;NA;0,001000;0,000000;3,4700;0,000010000
exec;insertion;rust;v2;1000;3;0,020000;NA;0,010000;0,010000;0,003072;NA;0,001000;0,000000;6,5098;0,000020000
exec;insertion;rust;v2;1000;4;0,020000;NA;0,010000;0,010000;0,003124;NA;0,001000;0,000000;6,4020;0,000020000
exec;insertion;rust;v2;1000;5;0,020000;NA;0,010000;0,010000;0,003087;NA;0,001000;0,000000;6,4787;0,000020000
exec;insertion;rust;v2;1000;6;0,020000;NA;0,010000;0,010000;0,003229;NA;0,001000;0,000000;6,1932;0,000020000
exec;insertion;rust;v2;1000;7;0,020000;NA;0,010000;0,010000;0,003268;NA;0,001000;0,000000;6,1196;0,000020000
exec;insertion;rust;v2;1000;8;0,020000;NA;0,020000;0,010000;0,003166;NA;0,001000;0,000000;6,3166;0,000020000
exec;insertion;rust;v2;1000;9;0,020000;NA;0,010000;0,010000;0,002988;NA;0,001000;0,000000;6,6941;0,000020000
exec;insertion;rust;v2;1000;10;0,020000;NA;0,010000;0,010000;0,003324;NA;0,002000;0,000000;6,0164;0,000020000
